                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7855,                 3.4933,                 4.2798,                 1.6463,                0.00032,                0.04878,                 0.0002,                0.00013,                      0,                      0,                      0,                      0,                    nan,                 2702.6,                    nan,                    nan,                0.00046,                0.00046,                0.00046
                      2,                 1.7914,                 2.4164,                 3.2834,                 1.6136,                0.00032,                0.04878,                 0.0002,                0.00013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00093628,             0.00093628,             0.00093628
                      3,                 1.7828,                 2.6957,                 2.4099,                 1.6112,                0.00032,                0.04878,                 0.0002,                0.00013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0014088,              0.0014088,              0.0014088
                      4,                 1.9762,                 2.5954,                 2.2972,                 1.7196,                0.00032,                0.04878,                 0.0002,                0.00013,                      0,                      0,                      0,                      0,                 2.8003,                    nan,                    inf,                 171.46,              0.0018774,              0.0018774,              0.0018774
                      5,                 1.9897,                 2.5649,                 2.2073,                 1.7559,                0.00032,                0.04878,                 0.0002,                0.00013,                      0,                      0,                      0,                      0,                 2.8312,                    nan,                    inf,                 183.05,              0.0019683,              0.0019683,              0.0019683
                      6,                 1.8906,                 2.3607,                 1.8623,                 1.6508,                0.00032,                0.04878,                 0.0002,                0.00013,                      0,                      0,                      0,                      0,                 4.7321,                    nan,                    inf,                 365.81,              0.0019683,              0.0019683,              0.0019683
                      7,                 1.8726,                 2.2648,                 1.6797,                  1.628,                0.02783,                0.09756,                0.00736,                0.00296,                0.01449,                0.04878,                0.00176,                0.00058,                 2.7352,                 15.126,                 37.483,                 15.179,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.6716,                 2.2743,                  1.576,                 1.5017,                0.00309,                0.17073,                0.00158,                0.00051,                0.00033,                0.02439,                0.00011,                  2e-05,                 3.0296,                  27.03,                    inf,                  11.07,              0.0019525,              0.0019525,              0.0019525
                      9,                 1.6985,                 2.1945,                 1.4305,                 1.5317,                0.74553,                0.46341,                0.49403,                0.27805,                0.71066,                0.43902,                0.39874,                 0.1115,                  1.491,                 2.6821,                 4.3901,                  1.616,              0.0019446,              0.0019446,              0.0019446
                     10,                 1.6042,                 2.2781,                 1.3275,                 1.4454,                0.87866,                0.53659,                0.61452,                0.33024,                0.43278,                0.26829,                0.16736,                0.04766,                 1.4745,                 2.1343,                 3.5608,                 1.6165,              0.0019366,              0.0019366,              0.0019366
                     11,                 1.6743,                 2.2903,                 1.3484,                 1.5359,                0.85439,                0.39024,                0.51661,                0.29695,                0.63057,                 0.2439,                0.22442,                0.07782,                 1.5124,                 1.9847,                 2.5761,                  1.549,              0.0019287,              0.0019287,              0.0019287
                     12,                 1.5435,                 2.1265,                   1.33,                 1.4466,                0.76739,                0.46341,                0.62094,                0.40864,                0.49491,                0.34146,                0.36292,                0.16529,                 1.3082,                 1.7136,                 1.9524,                 1.4224,              0.0019208,              0.0019208,              0.0019208
                     13,                 1.5504,                 2.1195,                 1.3122,                 1.4543,                0.69313,                0.55109,                0.68049,                0.42974,                0.44881,                0.46341,                0.40615,                0.13724,                 1.4115,                 1.8242,                  1.494,                  1.387,              0.0019129,              0.0019129,              0.0019129
                     14,                 1.5357,                  2.073,                 1.1335,                 1.4083,                 0.8578,                0.65854,                0.75983,                0.43979,                0.64488,                 0.4878,                0.43219,                0.21107,                  1.511,                 1.7849,                 1.0645,                  1.468,               0.001905,               0.001905,               0.001905
                     15,                 1.4766,                 2.0685,                 1.1121,                 1.4119,                0.72728,                0.56098,                0.61421,                0.35021,                0.46825,                0.26829,                0.19635,                0.07233,                 1.6803,                 1.6377,                 1.4053,                 1.5764,               0.001897,               0.001897,               0.001897
                     16,                 1.3179,                 1.8366,                 1.0714,                 1.3208,                0.47433,                0.29268,                0.31515,                0.19666,                0.36827,                0.21951,                0.18788,                0.09736,                 2.7546,                   2.35,                 2.8273,                 2.4162,              0.0018891,              0.0018891,              0.0018891
                     17,                  1.428,                 2.0718,                 1.0713,                 1.3577,                0.97425,                0.21951,                 0.2862,                0.18162,                0.72411,                0.14634,                0.16671,                0.06656,                 2.9235,                 5.5286,                 3.6394,                 2.7151,              0.0018812,              0.0018812,              0.0018812
                     18,                 1.3746,                 1.8423,                 1.0047,                  1.307,                0.81775,                0.65666,                0.65598,                0.36672,                0.58355,                0.46341,                  0.368,                  0.153,                 1.6282,                 1.9596,                 1.2571,                 1.5153,              0.0018733,              0.0018733,              0.0018733
                     19,                  1.371,                 1.8642,                0.99076,                 1.3077,                0.72462,                0.39024,                0.47896,                 0.2371,                0.46938,                0.29268,                0.23839,                0.07333,                 1.9307,                 2.1754,                 1.7629,                 1.6914,              0.0018654,              0.0018654,              0.0018654
                     20,                 1.3605,                 1.8422,                0.96196,                 1.3127,                0.61422,                0.43902,                0.47206,                 0.2285,                0.43442,                0.26246,                0.16098,                0.06929,                 1.8698,                 1.9228,                 1.6856,                 1.6681,              0.0018574,              0.0018574,              0.0018574
                     21,                 1.3307,                 1.8805,                 0.9677,                 1.2589,                0.89976,                0.65686,                0.75497,                0.47423,                0.69493,                0.50024,                0.48182,                0.20942,                 1.4388,                 1.6757,                0.97791,                 1.3311,              0.0018495,              0.0018495,              0.0018495
                     22,                 1.2937,                 1.7747,                 0.9521,                 1.2596,                0.84035,                0.64206,                0.79187,                 0.5366,                0.84138,                0.39024,                0.46192,                0.26826,                 1.2528,                 1.5778,                 1.0345,                 1.2728,              0.0018416,              0.0018416,              0.0018416
                     23,                   1.33,                  1.926,                0.98782,                 1.2713,                0.87002,                0.65854,                 0.7676,                0.54713,                0.50884,                0.39024,                 0.3444,                0.19444,                 1.2461,                  1.448,                0.90246,                 1.2652,              0.0018337,              0.0018337,              0.0018337
